FECHA_COMPRA;FECHA_ENTREGA;SUCURSAL;VENDEDOR;PRODUCTO;CANTIDAD;ORDEN;DIAS_ENTREGA
2023-11-10;2024-01-07;SUCURSAL 35;VENDEDOR 462;F-8683;4974;80-7726;58
2023-11-07;2024-01-12;SUCURSAL 81;VENDEDOR 309;N-1421;747;89-4880;66
2023-11-22;2023-12-18;SUCURSAL 91;VENDEDOR 882;K-4792;733;72-4299;26
2023-11-23;2024-01-09;SUCURSAL 99;VENDEDOR 381;I-3040;2399;81-6553;47
2023-11-08;2024-01-17;SUCURSAL 2;VENDEDOR 271;Z-6255;468;75-5773;70
2023-11-29;2024-01-10;SUCURSAL 29;VENDEDOR 612;P-411;9908;72-6320;42
2023-11-20;2023-12-28;SUCURSAL 25;VENDEDOR 377;M-6208;6102;67-9499;38
2023-11-19;2023-12-14;SUCURSAL 83;VENDEDOR 552;Z-6153;3128;86-5565;25
2023-11-29;2023-12-25;SUCURSAL 53;VENDEDOR 357;H-517;3855;72-7355;26
2023-11-16;2024-01-19;SUCURSAL 1;VENDEDOR 464;G-5884;1266;69-9104;64
2023-11-06;2024-01-28;SUCURSAL 5;VENDEDOR 753;U-5926;8174;75-950;83
2023-11-08;2024-01-15;SUCURSAL 81;VENDEDOR 794;R-5540;5524;71-5245;68
2023-11-28;2023-12-28;SUCURSAL 96;VENDEDOR 488;W-662;8425;79-7577;30
2023-11-27;2024-01-06;SUCURSAL 66;VENDEDOR 738;B-884;5810;76-5959;40
2023-11-05;2023-12-07;SUCURSAL 9;VENDEDOR 749;O-1775;9841;86-706;32
2023-11-16;2023-12-28;SUCURSAL 37;VENDEDOR 904;Z-2634;9343;86-8922;42
2023-11-27;2024-01-11;SUCURSAL 84;VENDEDOR 351;V-5687;9720;67-8810;45
2023-11-28;2023-12-17;SUCURSAL 83;VENDEDOR 923;G-8978;5367;79-7570;19
2023-11-17;2024-01-17;SUCURSAL 45;VENDEDOR 444;T-4754;6187;88-7074;61
2023-11-15;2024-01-07;SUCURSAL 57;VENDEDOR 579;O-3242;968;85-5725;53
2023-11-07;2023-12-24;SUCURSAL 12;VENDEDOR 56;O-2526;420;72-3083;47
2023-11-30;2024-01-01;SUCURSAL 39;VENDEDOR 118;H-986;5730;86-626;32
2023-11-21;2023-12-26;SUCURSAL 32;VENDEDOR 986;O-9039;7023;75-628;35
2023-11-14;2023-12-12;SUCURSAL 2;VENDEDOR 355;Y-2332;6028;76-8750;28
2023-11-04;2024-01-19;SUCURSAL 77;VENDEDOR 349;M-1706;8363;86-8432;76
2023-11-21;2023-12-15;SUCURSAL 1;VENDEDOR 303;J-1184;367;80-7345;24
2023-11-09;2024-01-12;SUCURSAL 75;VENDEDOR 121;Z-5693;139;65-7294;64
2023-11-11;2023-12-14;SUCURSAL 60;VENDEDOR 138;E-8789;4364;82-8746;33
2023-11-30;2024-01-29;SUCURSAL 79;VENDEDOR 752;R-8395;5189;90-1586;60
2023-11-28;2024-01-26;SUCURSAL 98;VENDEDOR 802;X-6621;3045;87-8519;59
2023-11-14;2024-01-07;SUCURSAL 2;VENDEDOR 849;N-4157;5711;86-8326;54
2023-11-12;2023-12-25;SUCURSAL 78;VENDEDOR 72;R-626;8602;72-5845;43
2023-11-13;2024-01-19;SUCURSAL 8;VENDEDOR 876;I-3587;1467;67-8258;67
2023-11-24;2023-12-04;SUCURSAL 60;VENDEDOR 512;D-8668;650;76-9955;10
2023-11-12;2023-12-09;SUCURSAL 98;VENDEDOR 596;N-2298;9758;69-5160;27
2023-11-05;2023-12-24;SUCURSAL 98;VENDEDOR 952;B-4421;8237;71-3482;49
2023-11-27;2023-12-19;SUCURSAL 73;VENDEDOR 436;Y-1164;6924;76-9057;22
2023-11-04;2023-12-08;SUCURSAL 67;VENDEDOR 150;O-658;4548;84-3700;34
2023-11-29;2023-12-09;SUCURSAL 64;VENDEDOR 699;N-3474;7081;67-8842;10
2023-11-19;2024-01-02;SUCURSAL 57;VENDEDOR 826;W-8433;3517;78-6709;44
2023-11-26;2023-12-05;SUCURSAL 68;VENDEDOR 730;N-9917;1224;65-7869;9
2023-11-14;2023-12-18;SUCURSAL 41;VENDEDOR 701;A-842;6297;88-3532;34
2023-11-30;2024-01-20;SUCURSAL 90;VENDEDOR 95;Q-1451;938;74-3097;51
2023-11-17;2023-12-01;SUCURSAL 33;VENDEDOR 225;K-932;3166;86-1027;14
2023-11-10;2024-01-28;SUCURSAL 20;VENDEDOR 597;L-9894;1816;84-6345;79
2023-11-28;2024-01-04;SUCURSAL 45;VENDEDOR 651;E-6490;3240;83-4604;37
2023-11-17;2024-01-11;SUCURSAL 1;VENDEDOR 518;K-6828;2471;65-5207;55
2023-11-09;2024-01-17;SUCURSAL 56;VENDEDOR 594;U-7362;6277;86-4495;69
2023-11-23;2024-01-14;SUCURSAL 66;VENDEDOR 731;Y-6904;6665;73-2469;52
2023-11-15;2023-12-27;SUCURSAL 88;VENDEDOR 962;H-1050;6138;79-236;42
2023-11-16;2024-01-03;SUCURSAL 8;VENDEDOR 996;F-3418;9790;73-5369;48
2023-11-10;2024-01-28;SUCURSAL 57;VENDEDOR 408;G-3166;3042;89-4968;79
2023-11-18;2023-12-16;SUCURSAL 26;VENDEDOR 864;U-2323;6946;80-3489;28
2023-11-29;2024-01-06;SUCURSAL 99;VENDEDOR 966;E-5178;6843;82-9778;38
2023-11-17;2024-01-04;SUCURSAL 53;VENDEDOR 938;N-6418;797;70-1773;48
2023-11-26;2024-01-29;SUCURSAL 5;VENDEDOR 186;M-523;2713;70-2245;64
2023-11-06;2023-12-24;SUCURSAL 18;VENDEDOR 2;A-587;2279;84-170;48
2023-11-20;2024-01-10;SUCURSAL 14;VENDEDOR 190;V-3219;2320;68-6889;51
2023-11-24;2024-01-29;SUCURSAL 31;VENDEDOR 112;Q-9453;6046;77-5225;66
2023-11-26;2023-12-10;SUCURSAL 75;VENDEDOR 537;N-4512;3145;81-496;14
2023-11-25;2023-12-13;SUCURSAL 12;VENDEDOR 551;O-592;7951;87-5310;18
2023-11-22;2024-01-23;SUCURSAL 80;VENDEDOR 598;I-9451;561;80-6021;62
2023-11-26;2023-12-06;SUCURSAL 47;VENDEDOR 472;S-8991;777;65-1291;10
2023-11-07;2023-12-17;SUCURSAL 3;VENDEDOR 329;K-5873;644;66-4015;40
2023-11-04;2024-01-19;SUCURSAL 39;VENDEDOR 394;P-9131;8387;81-6614;76
2023-11-18;2023-12-17;SUCURSAL 35;VENDEDOR 189;X-3066;3769;83-8296;29
2023-11-12;2023-12-11;SUCURSAL 76;VENDEDOR 769;O-4984;5414;84-2707;29
2023-11-22;2023-12-28;SUCURSAL 7;VENDEDOR 345;Q-3393;6827;77-819;36
2023-11-12;2024-01-09;SUCURSAL 72;VENDEDOR 638;R-7193;2874;88-163;58
2023-11-17;2023-12-19;SUCURSAL 95;VENDEDOR 687;N-3833;4175;88-6281;32
2023-11-20;2024-01-22;SUCURSAL 53;VENDEDOR 807;Y-8779;2163;86-7198;63
2023-11-07;2023-12-21;SUCURSAL 58;VENDEDOR 695;P-3524;7553;77-1112;44
2023-11-14;2023-12-10;SUCURSAL 24;VENDEDOR 702;L-1624;4574;89-8659;26
2023-11-30;2023-12-11;SUCURSAL 6;VENDEDOR 548;Y-1879;4377;88-7416;11
2023-11-06;2023-12-07;SUCURSAL 79;VENDEDOR 596;M-3534;7377;80-6085;31
2023-11-07;2024-01-18;SUCURSAL 18;VENDEDOR 338;I-907;6703;65-7361;72
2023-11-29;2024-01-04;SUCURSAL 64;VENDEDOR 561;F-6820;3841;82-5134;36
2023-11-17;2023-12-21;SUCURSAL 26;VENDEDOR 206;H-7436;8495;73-8612;34
2023-11-18;2024-01-07;SUCURSAL 18;VENDEDOR 336;R-8252;3156;68-9309;50
2023-11-09;2024-01-24;SUCURSAL 84;VENDEDOR 336;X-8794;8194;81-5975;76
2023-11-17;2023-12-27;SUCURSAL 47;VENDEDOR 300;T-3705;2819;78-5179;40
2023-11-24;2024-01-18;SUCURSAL 87;VENDEDOR 31;E-4128;6905;76-1455;55
2023-11-06;2023-12-27;SUCURSAL 33;VENDEDOR 463;O-1425;8191;83-7098;51
2023-11-08;2024-01-09;SUCURSAL 41;VENDEDOR 760;S-1349;1857;90-1695;62
2023-11-18;2023-12-27;SUCURSAL 63;VENDEDOR 292;T-6758;4670;82-5807;39
2023-11-06;2024-01-30;SUCURSAL 33;VENDEDOR 795;S-6922;837;88-334;85
2023-11-23;2024-01-22;SUCURSAL 71;VENDEDOR 987;R-6150;8977;81-7275;60
2023-11-09;2024-01-26;SUCURSAL 64;VENDEDOR 966;A-5235;115;72-8443;78
2023-11-19;2023-12-07;SUCURSAL 72;VENDEDOR 984;W-3103;5998;65-4344;18
2023-11-24;2024-01-20;SUCURSAL 73;VENDEDOR 383;F-5416;1096;76-3867;57
2023-11-24;2024-01-07;SUCURSAL 77;VENDEDOR 699;M-701;781;78-8923;44
2023-11-22;2024-01-26;SUCURSAL 53;VENDEDOR 251;E-2615;1082;72-3321;65
2023-11-05;2024-01-11;SUCURSAL 76;VENDEDOR 191;B-3536;8150;71-8077;67
2023-11-20;2023-12-22;SUCURSAL 6;VENDEDOR 689;N-2399;8077;90-8397;32
2023-11-06;2024-01-19;SUCURSAL 9;VENDEDOR 250;C-4297;6617;80-5892;74
2023-11-28;2023-12-25;SUCURSAL 36;VENDEDOR 715;A-2305;5363;86-2057;27
2023-11-27;2023-12-26;SUCURSAL 21;VENDEDOR 368;M-8363;1853;87-6835;29
2023-11-20;2023-12-02;SUCURSAL 54;VENDEDOR 283;R-4954;5405;76-6225;12
2023-11-03;2023-12-09;SUCURSAL 93;VENDEDOR 370;X-5424;4909;72-6740;36
2023-11-19;2024-01-28;SUCURSAL 83;VENDEDOR 136;M-5399;1067;79-4191;70
2023-11-20;2023-12-19;SUCURSAL 98;VENDEDOR 922;N-2003;841;73-3653;29
2023-11-17;2023-12-05;SUCURSAL 82;VENDEDOR 467;H-3875;4652;76-4976;18
2023-11-16;2023-12-13;SUCURSAL 75;VENDEDOR 465;L-3547;5308;74-4777;27
2023-11-05;2024-01-18;SUCURSAL 42;VENDEDOR 211;T-953;4054;74-391;74
2023-11-06;2023-12-26;SUCURSAL 19;VENDEDOR 428;A-6517;8988;89-8693;50
2023-11-16;2023-12-03;SUCURSAL 28;VENDEDOR 999;K-8407;8194;88-2845;17
2023-11-27;2023-12-31;SUCURSAL 55;VENDEDOR 855;T-1450;2273;74-9427;34
2023-11-19;2023-12-20;SUCURSAL 93;VENDEDOR 459;G-5833;3943;74-2100;31
2023-11-29;2023-12-29;SUCURSAL 23;VENDEDOR 858;P-9618;4557;69-7298;30
2023-11-10;2023-12-24;SUCURSAL 76;VENDEDOR 154;M-9547;5489;73-9788;44
2023-11-29;2023-12-07;SUCURSAL 43;VENDEDOR 846;S-1543;7057;70-3694;8
2023-11-12;2024-01-15;SUCURSAL 6;VENDEDOR 46;J-3223;8373;70-6076;64
2023-11-01;2024-01-02;SUCURSAL 1;VENDEDOR 458;P-2512;9447;82-2625;62
2023-11-11;2024-01-10;SUCURSAL 18;VENDEDOR 686;F-3391;8397;83-5854;60
2023-11-26;2023-12-11;SUCURSAL 44;VENDEDOR 840;V-86;7417;82-6138;15
2023-11-28;2024-01-12;SUCURSAL 34;VENDEDOR 55;Q-4567;5626;76-814;45
2023-11-05;2024-01-12;SUCURSAL 69;VENDEDOR 156;Y-3056;9096;90-4465;68
2023-11-26;2023-12-11;SUCURSAL 81;VENDEDOR 605;K-6010;2651;71-1814;15
2023-11-17;2024-01-28;SUCURSAL 97;VENDEDOR 83;P-900;9374;89-3141;72
2023-11-17;2024-01-30;SUCURSAL 78;VENDEDOR 483;E-5419;513;82-5444;74
2023-11-30;2024-01-08;SUCURSAL 99;VENDEDOR 960;O-1202;5981;89-1751;39
2023-11-10;2024-01-01;SUCURSAL 96;VENDEDOR 495;H-3662;665;65-4306;52
2023-11-18;2024-01-01;SUCURSAL 31;VENDEDOR 193;O-4343;7759;76-9932;44
2023-11-09;2023-12-28;SUCURSAL 92;VENDEDOR 573;P-5945;2993;86-2575;49
2023-11-07;2023-12-17;SUCURSAL 74;VENDEDOR 664;C-2836;9480;87-2873;40
2023-11-22;2023-12-07;SUCURSAL 35;VENDEDOR 627;L-2092;910;77-2538;15
2023-11-15;2024-01-26;SUCURSAL 30;VENDEDOR 364;C-1010;4849;65-1017;72
2023-11-28;2023-12-18;SUCURSAL 65;VENDEDOR 434;Y-1394;9500;66-176;20
2023-11-23;2024-01-09;SUCURSAL 48;VENDEDOR 158;H-9894;8999;79-1082;47
2023-11-05;2023-12-12;SUCURSAL 75;VENDEDOR 34;N-3165;3735;74-4047;37
2023-11-24;2024-01-11;SUCURSAL 91;VENDEDOR 468;C-2150;9887;71-694;48
2023-11-27;2024-01-21;SUCURSAL 21;VENDEDOR 370;G-2658;2965;84-9433;55
2023-11-10;2023-12-08;SUCURSAL 88;VENDEDOR 767;Z-9943;1488;88-8834;28
2023-11-19;2023-12-04;SUCURSAL 26;VENDEDOR 684;V-7234;8183;79-6228;15
2023-11-24;2023-12-09;SUCURSAL 100;VENDEDOR 610;V-946;2156;65-8762;15
2023-11-27;2024-01-14;SUCURSAL 53;VENDEDOR 148;J-2220;8317;74-4200;48
2023-11-24;2023-12-04;SUCURSAL 91;VENDEDOR 511;E-992;4837;87-3097;10
2023-11-07;2024-01-15;SUCURSAL 46;VENDEDOR 589;M-3139;8212;85-5928;69
2023-11-27;2023-12-05;SUCURSAL 42;VENDEDOR 280;D-4180;5008;77-7717;8
2023-11-27;2023-12-13;SUCURSAL 76;VENDEDOR 673;G-3632;6028;84-4863;16
2023-11-01;2024-01-19;SUCURSAL 33;VENDEDOR 90;L-348;7979;70-6678;79
2023-11-30;2024-01-07;SUCURSAL 44;VENDEDOR 561;F-4723;1932;70-327;38
2023-11-14;2024-01-07;SUCURSAL 89;VENDEDOR 289;P-9141;1674;89-978;54
2023-11-16;2024-01-14;SUCURSAL 38;VENDEDOR 694;D-4650;7835;85-8718;59
2023-11-29;2024-01-22;SUCURSAL 36;VENDEDOR 952;W-4787;6512;68-1846;54
2023-11-13;2023-12-02;SUCURSAL 77;VENDEDOR 211;U-884;8168;83-5720;19
2023-11-29;2023-12-08;SUCURSAL 32;VENDEDOR 909;I-1243;6975;86-1334;9
2023-11-16;2023-12-29;SUCURSAL 95;VENDEDOR 774;E-6986;5570;82-2993;43
2023-11-05;2024-01-03;SUCURSAL 90;VENDEDOR 763;A-8118;1754;66-2571;59
2023-11-16;2024-01-03;SUCURSAL 12;VENDEDOR 804;O-6065;7472;89-425;48
2023-11-12;2023-12-18;SUCURSAL 52;VENDEDOR 961;Z-2094;2515;90-5737;36
2023-11-19;2024-01-09;SUCURSAL 54;VENDEDOR 148;E-604;887;74-5567;51
2023-11-28;2024-01-04;SUCURSAL 69;VENDEDOR 530;G-5847;2351;75-4778;37
2023-11-27;2024-01-14;SUCURSAL 73;VENDEDOR 862;P-5726;6463;88-3002;48
2023-11-20;2024-01-22;SUCURSAL 38;VENDEDOR 514;V-8190;8516;79-8097;63
2023-11-11;2024-01-11;SUCURSAL 72;VENDEDOR 195;J-1347;518;85-475;61
2023-11-20;2023-12-04;SUCURSAL 34;VENDEDOR 691;R-5041;3850;79-3670;14
2023-11-13;2023-12-31;SUCURSAL 20;VENDEDOR 514;F-5428;5694;70-368;48
2023-11-22;2024-01-29;SUCURSAL 88;VENDEDOR 273;Z-1459;7801;81-9397;68
2023-11-01;2024-01-14;SUCURSAL 22;VENDEDOR 577;H-2269;7809;75-2498;74
2023-11-25;2024-01-02;SUCURSAL 94;VENDEDOR 52;N-2725;3695;89-6974;38
2023-11-18;2024-01-08;SUCURSAL 34;VENDEDOR 214;T-3475;9198;70-8466;51
2023-11-06;2024-01-16;SUCURSAL 29;VENDEDOR 58;N-8309;8283;69-2182;71
2023-11-25;2024-01-02;SUCURSAL 60;VENDEDOR 305;P-1406;6851;90-6678;38
2023-11-18;2024-01-21;SUCURSAL 55;VENDEDOR 508;U-59;4237;78-7633;64
2023-11-27;2023-12-19;SUCURSAL 38;VENDEDOR 529;Y-7840;3863;87-3465;22
2023-11-16;2023-12-27;SUCURSAL 76;VENDEDOR 614;S-9447;1671;65-2827;41
2023-11-23;2023-12-31;SUCURSAL 73;VENDEDOR 786;J-9124;4061;83-2222;38
2023-11-24;2024-01-10;SUCURSAL 2;VENDEDOR 968;N-5798;7984;69-6056;47
2023-11-02;2024-01-21;SUCURSAL 70;VENDEDOR 873;S-6784;9812;89-392;80
2023-11-29;2023-12-03;SUCURSAL 3;VENDEDOR 358;L-369;5429;70-285;4
2023-11-06;2024-01-15;SUCURSAL 41;VENDEDOR 464;E-4442;3559;67-3437;70
2023-11-30;2023-12-17;SUCURSAL 97;VENDEDOR 537;T-1799;2106;77-7644;17
2023-11-01;2024-01-14;SUCURSAL 73;VENDEDOR 72;Q-2844;6408;74-5583;74
2023-11-11;2024-01-10;SUCURSAL 39;VENDEDOR 592;D-7312;7391;77-4409;60
2023-11-14;2024-01-21;SUCURSAL 93;VENDEDOR 213;A-9017;4129;78-5223;68
2023-11-24;2023-12-16;SUCURSAL 76;VENDEDOR 696;Z-9361;6339;85-8388;22
2023-11-18;2024-01-27;SUCURSAL 23;VENDEDOR 531;S-8922;911;73-3343;70
2023-11-29;2024-01-25;SUCURSAL 96;VENDEDOR 470;M-6390;9738;80-4172;57
2023-11-16;2023-12-12;SUCURSAL 66;VENDEDOR 703;B-6408;9496;80-3499;26
2023-11-03;2023-12-02;SUCURSAL 47;VENDEDOR 981;L-6780;1104;69-4099;29
2023-11-14;2024-01-25;SUCURSAL 6;VENDEDOR 892;W-1944;2996;69-5718;72
2023-11-11;2023-12-28;SUCURSAL 75;VENDEDOR 74;M-8059;7757;67-4006;47
2023-11-03;2024-01-15;SUCURSAL 64;VENDEDOR 135;Q-9045;1260;85-6387;73
2023-11-08;2024-01-14;SUCURSAL 60;VENDEDOR 941;A-6960;3425;75-5088;67
2023-11-23;2023-12-10;SUCURSAL 60;VENDEDOR 117;C-8345;6611;79-3616;17
2023-11-10;2023-12-19;SUCURSAL 98;VENDEDOR 454;Z-8091;1039;67-4527;39
2023-11-01;2023-12-07;SUCURSAL 37;VENDEDOR 694;Z-3364;4165;69-4403;36
2023-11-24;2024-01-07;SUCURSAL 31;VENDEDOR 413;B-2762;2811;89-5201;44
2023-11-22;2023-12-28;SUCURSAL 37;VENDEDOR 86;J-4863;7613;77-5637;36
2023-11-06;2024-01-10;SUCURSAL 86;VENDEDOR 846;R-8248;8688;90-4248;65
2023-11-16;2023-12-26;SUCURSAL 60;VENDEDOR 204;U-3713;9706;84-6479;40
2023-11-19;2024-01-13;SUCURSAL 14;VENDEDOR 368;A-5935;7570;90-5957;55
2023-11-08;2023-12-02;SUCURSAL 15;VENDEDOR 236;L-4167;5740;86-6659;24
2023-11-17;2023-12-15;SUCURSAL 19;VENDEDOR 17;W-8310;882;88-2682;28
2023-11-02;2024-01-30;SUCURSAL 69;VENDEDOR 287;V-87;3124;80-8169;89
2023-11-04;2023-12-31;SUCURSAL 25;VENDEDOR 803;U-5709;8603;89-3084;57
2023-11-02;2024-01-01;SUCURSAL 56;VENDEDOR 741;J-3025;7152;78-4540;60
2023-11-18;2023-12-17;SUCURSAL 99;VENDEDOR 840;F-6492;5741;88-7776;29
2023-11-16;2024-01-25;SUCURSAL 35;VENDEDOR 235;V-1563;4742;71-3671;70
2023-11-06;2024-01-17;SUCURSAL 22;VENDEDOR 415;T-5174;7759;77-8319;72
2023-11-04;2023-12-08;SUCURSAL 62;VENDEDOR 572;V-6697;2947;67-190;34
2023-11-16;2024-01-23;SUCURSAL 28;VENDEDOR 31;P-3912;8864;86-4423;68
2023-11-19;2024-01-24;SUCURSAL 47;VENDEDOR 496;X-2172;5964;74-8061;66
2023-11-07;2023-12-01;SUCURSAL 34;VENDEDOR 621;F-3936;486;75-9403;24
2023-11-28;2024-01-07;SUCURSAL 95;VENDEDOR 293;Y-5807;5936;67-8990;40
2023-11-12;2023-12-12;SUCURSAL 22;VENDEDOR 132;L-5600;7741;66-5853;30
2023-11-12;2023-12-01;SUCURSAL 15;VENDEDOR 109;B-5436;5536;68-9375;19
2023-11-17;2023-12-22;SUCURSAL 79;VENDEDOR 998;H-749;644;67-43;35
2023-11-17;2024-01-22;SUCURSAL 42;VENDEDOR 730;U-8903;8613;81-9799;66
2023-11-01;2024-01-11;SUCURSAL 72;VENDEDOR 492;W-9978;1455;85-8011;71
2023-11-16;2024-01-09;SUCURSAL 72;VENDEDOR 18;Y-6913;4928;85-2172;54
2023-11-26;2024-01-23;SUCURSAL 77;VENDEDOR 631;N-9830;5338;90-9510;58
2023-11-26;2023-12-05;SUCURSAL 43;VENDEDOR 198;R-5498;8429;90-3753;9
2023-11-09;2024-01-02;SUCURSAL 69;VENDEDOR 884;I-9746;1632;80-5339;54
2023-11-10;2024-01-06;SUCURSAL 26;VENDEDOR 322;V-7084;6199;67-3104;57
2023-11-25;2023-12-30;SUCURSAL 33;VENDEDOR 864;C-9713;895;71-7342;35
2023-11-16;2023-12-20;SUCURSAL 71;VENDEDOR 886;T-4708;7573;81-3821;34
2023-11-15;2024-01-22;SUCURSAL 84;VENDEDOR 724;S-794;6272;87-7172;68
2023-11-01;2023-12-12;SUCURSAL 59;VENDEDOR 361;B-6139;4783;85-1205;41
2023-11-04;2023-12-27;SUCURSAL 47;VENDEDOR 376;S-3711;5156;76-2404;53
2023-11-02;2023-12-18;SUCURSAL 9;VENDEDOR 138;O-5995;5203;81-6537;46
2023-11-05;2023-12-18;SUCURSAL 17;VENDEDOR 615;D-6990;926;79-9980;43
2023-11-18;2024-01-14;SUCURSAL 8;VENDEDOR 597;U-9203;1012;87-4599;57
2023-11-17;2023-12-27;SUCURSAL 10;VENDEDOR 488;I-399;5927;85-5613;40
2023-11-15;2023-12-27;SUCURSAL 7;VENDEDOR 487;T-357;9350;78-4600;42
2023-11-14;2024-01-20;SUCURSAL 100;VENDEDOR 685;K-3712;7526;86-2096;67
2023-11-19;2024-01-07;SUCURSAL 26;VENDEDOR 375;F-1663;8795;72-4396;49
2023-11-20;2023-12-22;SUCURSAL 73;VENDEDOR 606;G-6111;833;83-83;32
2023-11-06;2024-01-05;SUCURSAL 18;VENDEDOR 228;Q-3953;7274;69-4815;60
2023-11-05;2023-12-30;SUCURSAL 73;VENDEDOR 443;J-8129;731;77-2343;55
2023-11-25;2024-01-02;SUCURSAL 92;VENDEDOR 723;Y-3610;3490;82-3462;38
2023-11-23;2023-12-08;SUCURSAL 25;VENDEDOR 458;Y-4650;8753;77-6905;15
2023-11-06;2023-12-08;SUCURSAL 27;VENDEDOR 619;Z-2748;8833;75-402;32
2023-11-20;2024-01-04;SUCURSAL 35;VENDEDOR 851;Y-7701;9438;83-8994;45
2023-11-10;2024-01-21;SUCURSAL 65;VENDEDOR 421;R-5114;9389;85-1843;72
2023-11-20;2024-01-11;SUCURSAL 26;VENDEDOR 167;V-6345;5307;75-4113;52
2023-11-18;2024-01-16;SUCURSAL 47;VENDEDOR 893;Z-1253;4648;78-2761;59
2023-11-29;2023-12-05;SUCURSAL 3;VENDEDOR 666;L-28;1265;74-8459;6
2023-11-16;2023-12-15;SUCURSAL 37;VENDEDOR 168;B-2747;371;82-2185;29
2023-11-26;2023-12-30;SUCURSAL 49;VENDEDOR 736;C-2911;4156;74-1640;34
2023-11-05;2024-01-20;SUCURSAL 30;VENDEDOR 640;K-6056;1543;78-4057;76
2023-11-10;2023-12-14;SUCURSAL 35;VENDEDOR 602;N-7637;7675;89-5310;34
2023-11-18;2023-12-02;SUCURSAL 9;VENDEDOR 380;C-1956;5560;74-5822;14
2023-11-06;2023-12-26;SUCURSAL 17;VENDEDOR 460;G-8799;6159;86-2479;50
2023-11-18;2024-01-15;SUCURSAL 44;VENDEDOR 669;L-3862;7111;79-1345;58
2023-11-02;2024-01-09;SUCURSAL 11;VENDEDOR 381;K-1747;9749;72-3553;68
2023-11-13;2024-01-23;SUCURSAL 33;VENDEDOR 11;W-2202;5617;89-697;71
2023-11-14;2024-01-19;SUCURSAL 26;VENDEDOR 58;G-9318;5988;75-4435;66
2023-11-30;2023-12-10;SUCURSAL 37;VENDEDOR 427;U-4334;1579;78-8766;10
2023-11-13;2023-12-24;SUCURSAL 91;VENDEDOR 832;E-32;402;86-9617;41
2023-11-05;2024-01-22;SUCURSAL 96;VENDEDOR 557;C-9151;8087;78-6414;78
2023-11-25;2024-01-02;SUCURSAL 58;VENDEDOR 389;S-6017;5145;81-7359;38
2023-11-01;2024-01-08;SUCURSAL 33;VENDEDOR 245;O-8321;4117;77-4785;68
2023-11-16;2024-01-11;SUCURSAL 64;VENDEDOR 651;A-4539;5873;87-7693;56
